store_id,store_name,city,state,region,pincode,store_type,store_opening_date
STR0089,Croma - Bhubaneswar - Mall,Bhubaneswar,Odisha,East,441664,Mall,2017-05-25
STR0090,Croma - Patna - High,Patna,Bihar,East,693055,High Street,2010-04-16
STR0091,Croma - Jaipur - Mall,Jaipur,Rajasthan,North,852512,Mall,2019-09-16
STR0092,Croma - Patna - Standalone,Patna,Bihar,East,702361,Standalone Big Box,2010-10-04
STR0093,Croma - Guwahati - Standalone,Guwahati,Assam,East,803872,Standalone Big Box,2012-09-01
STR0094,Croma - Lucknow - Mall,Lucknow,Uttar Pradesh,North,814791,Mall,2012-05-23
STR0095,Croma - Ranchi - Standalone,Ranchi,Jharkhand,East,177129,Standalone Big Box,2021-05-17
STR0096,Croma - Delhi - Mall,Delhi,Delhi,North,298771,Mall,2010-09-24
STR0097,Croma - Vadodara - High,Vadodara,Gujarat,West,647784,High Street,2015-11-17
STR0098,Croma - Visakhapatnam - Mall,Visakhapatnam,Andhra Pradesh,South,549607,Mall,2018-02-03
STR0099,Croma - Coimbatore - Standalone,Coimbatore,Tamil Nadu,South,147359,Standalone Big Box,2017-01-23
STR0100,Croma - Nashik - Mall,Nashik,Maharashtra,West,180812,Mall,2019-04-27
STR0101,Croma - Patna - Mall,Patna,Bihar,East,497808,Mall,2020-12-29
STR0102,Croma - Ahmedabad - Mall,Ahmedabad,Gujarat,West,569044,Mall,2015-05-23
STR0103,Croma - Patna - Standalone,Patna,Bihar,East,234951,Standalone Big Box,2021-05-04
STR0104,Croma - Mumbai - Standalone,Mumbai,Maharashtra,West,237613,Standalone Big Box,2014-05-09
STR0105,Croma - Bhubaneswar - High,Bhubaneswar,Odisha,East,206359,High Street,2023-06-24
STR0106,Croma - Bhubaneswar - Standalone,Bhubaneswar,Odisha,East,530889,Standalone Big Box,2016-11-27
STR0107,Croma - Bhubaneswar - Standalone,Bhubaneswar,Odisha,East,115851,Standalone Big Box,2020-01-29
STR0108,Croma - Coimbatore - High,Coimbatore,Tamil Nadu,South,536461,High Street,2021-12-24
STR0109,Croma - Kanpur - Mall,Kanpur,Uttar Pradesh,North,464567,Mall,2020-11-07
STR0110,Croma - Mysuru - High,Mysuru,Karnataka,South,457159,High Street,2021-08-26
STR0111,Croma - Delhi - High,Delhi,Delhi,North,616061,High Street,2017-05-06
STR0112,Croma - Bhubaneswar - Mall,Bhubaneswar,Odisha,East,499361,Mall,2010-08-06
STR0113,Croma - Chennai - Mall,Chennai,Tamil Nadu,South,652173,Mall,2016-10-01
STR0114,Croma - Jaipur - High,Jaipur,Rajasthan,North,679123,High Street,2012-06-26
STR0115,Croma - Bengaluru - Mall,Bengaluru,Karnataka,South,795488,Mall,2022-03-04
STR0116,Croma - Hyderabad - Standalone,Hyderabad,Telangana,South,705438,Standalone Big Box,2013-03-29
STR0117,Croma - Thane - Mall,Thane,Maharashtra,West,495692,Mall,2013-02-14
STR0118,Croma - Nashik - Mall,Nashik,Maharashtra,West,476655,Mall,2013-05-31
STR0119,Croma - Vadodara - Standalone,Vadodara,Gujarat,West,285603,Standalone Big Box,2018-10-18
STR0120,Croma - Nagpur - Mall,Nagpur,Maharashtra,West,556698,Mall,2017-10-27
STR0121,Croma - Jaipur - Mall,Jaipur,Rajasthan,North,213656,Mall,2022-12-28
STR0122,Croma - Visakhapatnam - High,Visakhapatnam,Andhra Pradesh,South,803771,High Street,2015-09-13
STR0123,Croma - Coimbatore - Standalone,Coimbatore,Tamil Nadu,South,739558,Standalone Big Box,2013-11-12
STR0124,Croma - Kanpur - Mall,Kanpur,Uttar Pradesh,North,199202,Mall,2010-09-04
STR0125,Croma - Guwahati - Mall,Guwahati,Assam,East,695538,Mall,2010-02-05
STR0126,Croma - Chennai - High,Chennai,Tamil Nadu,South,197243,High Street,2015-02-12
STR0127,Croma - Pune - Standalone,Pune,Maharashtra,West,647313,Standalone Big Box,2022-09-04
STR0128,Croma - Kolkata - High,Kolkata,West Bengal,East,175344,High Street,2017-03-03
STR0129,Croma - Hyderabad - Mall,Hyderabad,Telangana,South,473705,Mall,2022-03-26
STR0130,Croma - Coimbatore - Mall,Coimbatore,Tamil Nadu,South,600109,Mall,2011-05-24
STR0131,Croma - Chennai - Mall,Chennai,Tamil Nadu,South,652965,Mall,2011-04-12
STR0132,Croma - Chennai - Mall,Chennai,Tamil Nadu,South,421864,Mall,2021-05-30
STR0133,Croma - Pune - High,Pune,Maharashtra,West,796610,High Street,2011-06-18
STR0134,Croma - Chennai - Mall,Chennai,Tamil Nadu,South,686870,Mall,2010-09-17
STR0135,Croma - Bhubaneswar - High,Bhubaneswar,Odisha,East,265158,High Street,2015-07-14
STR0136,Croma - Noida - High,Noida,Uttar Pradesh,North,610068,High Street,2022-08-30
STR0137,Croma - Kochi - High,Kochi,Kerala,South,654249,High Street,2019-06-09
STR0138,Croma - Mumbai - Mall,Mumbai,Maharashtra,West,358561,Mall,2011-05-11
STR0139,Croma - Gurugram - Standalone,Gurugram,Haryana,North,659983,Standalone Big Box,2021-06-17
STR0140,Croma - Jaipur - High,Jaipur,Rajasthan,North,779284,High Street,2021-07-19
STR0141,Croma - Raipur - High,Raipur,Chhattisgarh,Central,718751,High Street,2020-12-17
STR0142,Croma - Surat - Mall,Surat,Gujarat,West,678087,Mall,2022-05-11
STR0143,Croma - Delhi - Mall,Delhi,Delhi,North,582701,Mall,2013-04-14
STR0144,Croma - Chandigarh - Standalone,Chandigarh,Chandigarh,North,311549,Standalone Big Box,2023-05-30
STR0145,Croma - Raipur - Mall,Raipur,Chhattisgarh,Central,702442,Mall,2014-05-23
STR0146,Croma - Guwahati - Mall,Guwahati,Assam,East,381324,Mall,2020-12-24
STR0147,Croma - Thane - High,Thane,Maharashtra,West,506487,High Street,2017-12-06
STR0148,Croma - Vadodara - High,Vadodara,Gujarat,West,344258,High Street,2020-09-02
STR0149,Croma - Patna - Standalone,Patna,Bihar,East,343198,Standalone Big Box,2018-08-06
STR0150,Croma - Thane - Mall,Thane,Maharashtra,West,227421,Mall,2018-10-18
